	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19
B0	0	11	19	21	44	37	49	23	21	53	39	45	11	13	12	37	15	48	12	7
B1	11	0	31	38	30	49	63	29	4	65	56	30	15	21	29	38	15	60	0	5
B2	19	31	0	21	42	13	27	6	39	28	23	48	10	3	7	14	16	23	33	30
B3	21	38	21	0	66	21	29	31	48	40	16	66	25	22	10	42	35	36	39	34
B4	44	30	42	66	0	59	73	30	19	70	72	4	35	41	50	30	25	65	28	38
B5	37	49	13	21	59	0	7	26	58	15	10	66	28	22	19	29	36	13	52	48
B6	49	63	27	29	73	7	0	40	72	6	10	80	42	36	31	43	50	3	66	62
B7	23	29	6	31	30	26	40	0	33	36	36	37	8	5	15	7	8	31	32	28
B8	21	4	39	48	19	58	72	33	0	73	66	20	23	30	38	42	19	68	3	13
B9	53	65	28	40	70	15	6	36	73	0	21	77	44	37	39	40	50	1	67	64
B10	39	56	23	16	72	10	10	36	66	21	0	78	37	32	22	44	46	19	57	52
B11	45	30	48	66	4	66	80	37	20	77	78	0	36	42	51	40	26	72	29	39
B12	11	15	10	25	35	28	42	8	23	44	37	36	0	1	9	21	4	39	17	14
B13	13	21	3	22	41	22	36	5	30	37	32	42	1	0	7	19	10	32	24	20
B14	12	29	7	10	50	19	31	15	38	39	22	51	9	7	0	26	19	34	30	24
B15	37	38	14	42	30	29	43	7	42	40	44	40	21	19	26	0	18	35	42	39
B16	15	15	16	35	25	36	50	8	19	50	46	26	4	10	19	18	0	45	19	17
B17	48	60	23	36	65	13	3	31	68	1	19	72	39	32	34	35	45	0	62	59
B18	12	0	33	39	28	52	66	32	3	67	57	29	17	24	30	42	19	62	0	4
B19	7	5	30	34	38	48	62	28	13	64	52	39	14	20	24	39	17	59	4	0
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
